ChEMBL_ID,canonical_smiles,IC50,IC50_units,Assay_Description
CHEMBL281525,CCC(C)(O)C#Cc1nc(NCc2ccc(OC)c(OC)c2)c2ncn(C(C)C)c2n1,600.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL336776,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CC3(O)CCCC3)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL3085240,COc1cccc(CNc2nc(N3CCC[C@@H]3CO)nc3c2ncn3C(C)C)c1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL3085235,COc1cc(CNc2nc(N3CCC[C@@H]3CO)nc3c2ncn3C(C)C)cc(OC)c1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL130161,COc1cc(CNc2nc(I)nc3c2ncn3C(C)C)cc(OC)c1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL3085244,CC(C)n1cnc2c(NCc3ccccc3C(F)(F)F)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL26513,CCC(C)(O)C#Cc1nc(Nc2ccc(Cl)c(Cl)c2)c2ncn(C(C)C)c2n1,500.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL2111870,CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@H](CO)Cc3ccccc3)nc21,2000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL132948,Ic1nc(NCc2ccccc2)c2ncn(C3CCCC3)c2n1,100000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL130315,CC(C)n1cnc2c(NCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nc(I)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL3085241,CC(C)n1cnc2c(NCc3ccc(Cl)cc3)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL134239,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CC3(O)CCCCC3)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL3085249,CC(C)n1cnc2c(N(Cc3ccccc3)Cc3ccccc3)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL3085248,CC(C)n1cnc2c(Nc3ccc(Cl)c(Cl)c3)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL335743,Nc1nc(Cl)c2ncn(C3CCCC3)c2n1,100000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL3085251,OC[C@H]1CCCN1c1nc(NCc2ccccc2)c2ncn(C3CCCC3)c2n1,500.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL3085252,CC(C)n1cnc2c(NCc3cccc(I)c3)nc(N3CCC[C@@H]3CO)nc21,160.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL134003,CC(C)n1cnc2c(NCc3ccccc3)nc(CCCCO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL133242,CC(C)n1cnc2c(NCc3ccccc3)nc(/C=C/CCCO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL130903,CC(C)n1cnc2c(Nc3cccc(Br)c3)nc(I)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL77369,CC(C)n1cnc2c(Nc3cccc(Cl)c3)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL3085238,COc1ccc(CNc2nc(N3CCC[C@@H]3CO)nc3c2ncn3C(C)C)cc1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL26564,CCC(C)(O)C#Cc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,340.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL2112682,CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@@H](CO)Cc3ccccc3)nc21,1300.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL335966,CC(C)n1cnc2c(NCc3ccccc3)nc(N3CCC(O)C3)nc21,2400.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL337715,CC(C)n1cnc2c(NCc3cccc(C(F)(F)F)c3)nc(I)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL2112683,CC(C)n1cnc2c(NCc3ccccc3)nc(N3CCC[C@H]3CO)nc21,2400.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL286491,CCC(C)(O)C#Cc1nc(NCc2ccc3c(c2)OCO3)c2ncn(C(C)C)c2n1,300.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL282193,CCC(C)(O)C#Cc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,500.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL337411,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CCCO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL130904,CC(C)n1cnc2c(Nc3ccccc3)nc(I)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL336995,CC(C)n1cnc2c(NCc3ccccc3C(F)(F)F)nc(I)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL3085231,CC(C)n1cnc2c(NCc3cccc(C(F)(F)F)c3)nc(N3CCC[C@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL3085232,CC(C)n1cnc2c(NCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL130597,CC(C)n1cnc2c(NCc3ccccc3)nc(N(CCO)Cc3ccccc3)nc21,8000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL132687,CC(C)n1cnc2c(NCc3ccccc3)nc(CCCO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL3085234,COc1ccccc1CNc1nc(N2CCC[C@@H]2CO)nc2c1ncn2C(C)C,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL133740,CC(C)n1cnc2c(N3CC=CCC3)nc(NCCO)nc21,100000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL2112678,CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@H](C)CO)nc21,700.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL131031,C=CCN(C)c1nc(I)nc2c1ncn2C(C)C,14000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL3085242,OC[C@H]1CCCN1c1nc(NCc2ccccc2)c2ncn(C3CCCCC3)c2n1,13000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
